Company Name,Responsible Person
Attollo Defense,Howard Mui
Oxford Police Department,Gerald Lyons
Ash Ahrens,Ash Ahrens
Scott Smith,Scott Smith
Andrew R. Barrera,Andrew Barrera
Christian Ojala,Christian Ojala
CTRL USA,Ian Perry
The Ohio Department of Transportation,Daniel Kammer
DRONISOS,Laurent Perchais
PR FIREWORKS & DRONES INC,Luis Torres
Bolivar Police Department,Chris Wilkerson
Drone Express,Russell Kline
"FlyGuys, Inc.",Luke Butler
Cosmic Drone LLC,You Feng Ou
Hireuavpro.com,Graham Hill
Quantum Flight,Alan Deal
GeoWings L.L.C.,Bert Bossman
Pleasant Hill Police Department,Michael Hurlbut
Arch Aerial LLC,Julien Alameda
Aevex Aerospace,Jason Rohr
Long Valley First Aid Squad,Thomas Sniffen
Steve Marquez,Steve Marquez
Michels Corporation,Mattheus de Waard
Northrop Grumman Systems Corporation,Justin Springer
Malin Hiles,Malin Hiles
Great Lakes Drone Company LLC,Matthew Quinn
ADVEXURE LLC,Travis Waibel
RWE,Mitchell McArthur
"Brasfield & Gorrie, L.L.C.",Robert Mancill
"Precision Drones, Inc.",John Griffin
Rock County Sheriff's Office,Jacob Gardner
Elizabeth Toedt,Elizabeth Toedt
"RedFox Media, LLC",Paul Goodyear
Mietlinski,Mykel Mietlinski
DPR Construction,Nicholas Woehrel
Carnegie Mellon University,Diane Patterson
Dexter Kennedy,Dexter Kennedy
Burbank Cinematics L.L.C.,Bounthaivanh Phanthavong
Amy McGlothlin,Amy McGlothlin
Skylights LLC,Luis Sanchez
Andrew Eckmann,Andrew Eckmann
Jonathan Hidalgo,Jonathan Hidalgo
Anduril Industries,Tyler Sterkel
Dacono Police Department,Brandon Arrick
Anduril Industries,Brad Burnett
Peninsula School District 401,Melissa Benner
Firefly Drone Shows,Kyle Dorosz
Aerial Chicago Videos LLC,Vlad Todea
Dreamworks Drone Shows,Kevin Rice
Brightflight Drone Shows,Thomas Dolan
"Nova Sky Stories, LLC",Evan Webster
University of Maryland UAS Test Site,Grant Williams
Koch Industries Inc,Chris Smith
Eduardo Cid,Eduardo Cid
Trumann Police Dept.,Jude Sawyer
Chad Hankins,Chad Hankins
"Starstruck Drone Shows, LLC",Hal Smith
Alare Technologies LLC,Patrick Ailes
GreenSight Agronomics,James Peverill
Drone Express,Jordan Porlier
Montclair Police Department,Todd Conforti
Great River Energy,Andrew Regnier
Tyton Aviation,Aaron Tyler
StratCom,Andrew Savage
Tristin Castillo,Tristin Castillo
Albert Fields,Albert Fields
New Age Drone Shows LLC,Christopher Greaves
T3i Inc,Shaun Sorensen
Turner Construction,Gary Chapman
GreenSight Agronomics,James Peverill
Amy McGlothlin,Amy McGlothlin
City of North Little Rock,Patrick Thessing
Sherwood Police Department,Jeff Hagar
Robert Roos,Robert Roos
"Community Oriented Patrol & Security, Inc",Aaron Zeff
Jonathan Hurndall,Jonathan Hurndall
Vincent DeGrado,Vincent DeGrado
William M Hamblin,William Hamblin
Kurt Schmidt,Kurt Schmidt
Jeff Casella,Jeff Casella
City of Odenville Police Department,Jonathan Wiggins
Adam Bingham,Adam Bingham
Donald Briggs,Don Briggs
Fernando Chardon,Fernando Chardon
Engineering Automation,Chris Harris
Dodette,Danielle Odette
Moko Drones,Dwight Winston
Vala's Pumpkin Patch & Apple Orchard,Dan McDonald
Aerial Wonder Drones,Caden Hermansen
"Dazzle 'Em Drone Shows, LLC",Stacey Berger
Light Action Productions,Patrick Thompson
Michael Julio,Michael Julio
Craig Kraemer,Craig Kraemer
Brandon Frazier,Brandon Frazier
"Nova Sky Stories, LLC",Evan Webster
Amazing Drone Shows LLC,Jeffrey Ward
Ian Sunny Lake,Ian Lake
Aaron Stuter,Aaron Stuter
