rank,score,siren,company_name,trade_name,acronym,naf_code,employee_band,company_category,founded_date,city,signals,website_to_enrich,linkedin_to_enrich
119,75,804836039,DRONESTAR,,DS,74.90B,01,PME,2014-10-01,,NAF_B:74.90B|generic_name|structured|emp:01|PME/micro,,
120,75,807500541,ESCADRONE,,,30.30Z,11,PME,2014-10-27,,NAF_B:30.30Z|generic_name|structured|emp:11|PME/micro,,
121,75,808556864,DRONE AIR FLY,,,74.90B,01,PME,2014-12-05,,NAF_B:74.90B|generic_name|structured|emp:01|PME/micro,,
122,75,820377687,DRONELIS,,,70.22Z,11,PME,2016-05-18,,NAF_B:70.22Z|generic_name|structured|emp:11|PME/micro,,
123,75,821792629,PRODRONES,,,30.30Z,03,PME,2016-08-01,,NAF_B:30.30Z|generic_name|structured|emp:03|PME/micro,,
124,75,833347842,IVA DRONES,,,63.11Z,02,PME,2017-11-07,,NAF_B:63.11Z|generic_name|structured|emp:02|PME/micro,,
125,75,842833824,LYNXDRONE,,,74.90B,11,PME,2018-10-01,,NAF_B:74.90B|generic_name|structured|emp:11|PME/micro,,
126,75,844743567,DRONE XTR,,,74.90B,02,PME,2018-12-19,,NAF_B:74.90B|generic_name|structured|emp:02|PME/micro,,
127,75,878390863,SPACEDRONE,,,30.30Z,01,PME,2019-09-23,,NAF_B:30.30Z|generic_name|structured|emp:01|PME/micro,,
128,75,883116220,DRONE REPONSE SECURITE,,DRS,80.20Z,NN,PME,2020-03-03,,NAF_other:80.20Z|dock_kw|structured|PME/micro,,
129,75,883422941,LTN DRONE EXPERTISE,,,74.90B,NN,PME,2020-04-23,,NAF_B:74.90B|provider_kw|structured|PME/micro,,
130,75,891652778,DSC (DRONE SECURITY CONSULTING),,,74.90B,NN,PME,2020-11-27,,NAF_B:74.90B|provider_kw|structured|PME/micro,,
131,75,913174082,OBJECTIF DRONE PRODUCTION,,,30.30Z,02,PME,2022-05-01,,NAF_B:30.30Z|generic_name|structured|emp:02|PME/micro,,
132,75,914112404,SARL DRONE VISUAL INSPECTION,,,33.16Z,NN,PME,2022-05-12,,NAF_other:33.16Z|dock_kw|structured|PME/micro,,
133,75,915111751,DRONE AQUITAINE,,,74.90B,02,PME,2022-06-01,,NAF_B:74.90B|generic_name|structured|emp:02|PME/micro,,
134,75,934369844,DRONES CENTER INNOVATIONS,,,74.90B,NN,,2024-10-01,,NAF_B:74.90B|provider_kw|structured|PME/micro,,
135,75,938180767,TA TECHDRONE,,,74.90B,NN,,2024-11-22,,NAF_B:74.90B|provider_kw|structured|PME/micro,,
136,75,941444432,DRONES EXPERTS SERVICES,,,30.30Z,NN,,2025-02-18,,NAF_B:30.30Z|provider_kw|structured|PME/micro,,
137,75,948421763,RHUYS EXPERTISE DRONE,,,74.90B,NN,PME,2023-01-25,,NAF_B:74.90B|provider_kw|structured|PME/micro,,
138,75,981895766,WOLF DRONE SOLUTIONS,,,30.30Z,NN,PME,2023-11-24,,NAF_B:30.30Z|provider_kw|structured|PME/micro,,
